URL,IP,LongURL,PreSuffix,SubDomain,@Symbol,TLDInPath,SuspiciousWords,PunctuationSymbols,DigitsInDomain,Entropy,KLDivergence,Phishy
http://factorybeta.preferati.com/leigh/index.html,0,0,0,0,0,1,0,0,0,2.7306730421122229,0.27166675597383494,0
http://mint.ocn.ne.jp,0,0,0,1,0,0,0,0,0,2.1761856615603072,0.99087037409513168,0
http://www.pluchinotta.gov.it:8291/-/?uid=abuse@ig.com.br,0,1,0,1,0,1,0,0,1,2.8008060604794807,0.33900026037146835,0
http://x2tbz.temp.swtest.ru/AtendimentoOnlineMaio/,0,0,0,1,0,0,0,0,1,2.609456853132369,0.39137499112579699,0
http://www.pluchinotta.gov.it:8291/-/?uid=abuse@globo.com,0,1,0,1,0,1,0,0,1,2.7485372807400767,0.38593758061976702,0
http://www.bazouroslawoffice.gr/en/index/acesspf/santandernet/login.do/tmp/aaf.htm,0,2,0,0,0,1,0,0,0,2.8861167837831929,0.18272703874691226,0
http://mobsantand.temp.swtest.ru/AtualizaMaio/,0,0,0,1,0,0,0,0,0,2.6205062162505199,0.35937202190181056,0
http://computecqtro.com/,0,0,0,0,0,0,0,0,0,2.1597316160754931,1.0778739720110817,0
http://linetrip.tk/c8fd7e3d6/signin.php,0,0,0,0,0,1,0,0,0,2.4718383572179645,0.57571220182268956,0
http://novobanconet1.jelastic.regruhosting.ru/,0,0,0,1,0,0,0,0,1,2.7051314568059248,0.29649519300229299,0
http://santander-solucoes.com/,0,0,1,0,0,0,0,0,0,2.535025161910756,0.30629263883287866,0
https://stobblek.nl/cpanel/k/T/Y1.html,0,0,0,0,0,1,0,0,0,2.525673332048834,0.6533853620800929,0
http://sarmawola.pl/signin/,0,0,0,0,0,0,0,0,0,2.4914937218794382,0.48566753107936006,0
http://bsteam.am/wp-includes/js/plupload/log/919ab/security/signin/,0,1,0,0,0,0,1,0,0,2.8734265435223523,0.26771995764250994,0
http://bestlight.gr/skin/frontend/default/modern/images/media/,0,1,0,0,0,0,0,0,0,2.7521980300051778,0.17353203083376093,0
http://emmanuelcoalitionforchange.com/temp/healthgov/index.php,0,1,0,0,0,1,0,0,0,2.7233055236211081,0.30045520583933572,0
http://portal.exito.tuyco.xyz/PortalTransaccional/login.aspx.html,0,1,0,1,0,1,0,0,0,2.7041866585392911,0.4846352053318071,0
http://www.idahotherapy.com/XM/X/DHL/pu1671ng971b92pjx4pdqajk.php?rand=13InboxLightaspxn.1774256418&fid&1252899642&fid.1&fav.1,0,2,0,0,0,1,0,0,0,3.007217695865541,0.50592757057128601,0
http://www.idahotherapy.com/XM/X/DHL/index.php,0,0,0,0,0,1,0,0,0,2.6400033197571711,0.52944747594701447,0
http://www.avanta-acad.com.sg/admin/dee/login.jsp.htm,0,0,1,1,0,1,1,0,0,2.7240736127329828,0.40039632495969779,0
http://www.tinyurl.com/kbtetvp/,0,0,0,0,0,0,0,0,0,2.6476654641273321,0.63401257698018321,0
https://verification-accountsummary-required.com/webapps/2e15a/websrc,0,1,1,0,0,0,0,0,0,2.8348076119977872,0.25504043392327908,0
http://supporto-digitale.info/cartasi_email.html,0,0,1,0,0,1,0,0,0,2.6598317984731654,0.23687191623824266,0
http://liliforms.com/system/logs/.../owa/WebAdmin/Outlook%20Web%20App.htm,0,1,0,0,0,1,0,0,0,2.8171303828053658,0.27734257416039793,0
http://supporto-informatici.info/cartasi_email.html,0,0,1,0,0,1,0,0,0,2.5798804579161643,0.33115682480202657,0
http://www.transxxx.ru/media/media/www.dropbox.com/view.htm,0,1,0,0,0,1,0,0,0,2.7266473188357683,0.65672867640384536,0
http://flashoverart.com/slash/hotis/index.php,0,0,0,0,0,1,0,0,0,2.67658730470849,0.33225017368149468,0
http://robashburn.com/g/ayo1/index.html,0,0,0,0,0,1,0,0,0,2.8405646348750739,0.29962315310686949,0
http://motivatetheweb.com/IWA/GD/index.php,0,0,0,0,0,1,0,0,0,2.5897665875948754,0.52419453624318746,0
http://bcol.barclaycard.co.uk.ecom.as2.initiallogon.do.x.49.y.35tc.qxbca23302.australianuniversity.com.au/cloudit/f410ac28c8c68f5c8a37811aad1ec985/verify-details.html,0,2,0,2,0,1,0,0,1,2.8655024224859917,0.26418481083880818,0
http://bcol.barclaycard.co.uk.ecom.as2.initiallogon.do.x.49.y.35tc.qxbca23302.australianuniversity.com.au/cloudit/f410ac28c8c68f5c8a37811aad1ec985/myBrky.html#http://www.barclays.co.uk/cs/Satellite?c=Info_C&amp;pagename=BarclaysOnline/BOPopUp&amp;cid=1242617571817,0,2,0,2,0,1,0,1,1,2.9201580791508777,0.23099267834412057,0
http://www.compracielo.online/,0,0,0,0,0,0,0,0,0,2.4990649028542835,0.51724440397566218,0
http://soonwing.com.my/wp-content/plugins/bb/0b7b29a734a1d5a15cb0287d7cd5605e/confirm.php,0,2,0,0,0,1,1,0,0,2.8395545699723277,0.3438339013252682,0
